imo,anc_before_jit,anc_after_jit,emission_range,anc_savings_after_jit,savings_range
9168269,33.8262928761368,33.8262928761368,10-50,0.0,Zero
9168843,59.3853885781452,59.3853885781452,50-100,0.0,Zero
9169316,59.076394116093,59.076394116093,50-100,0.0,Zero
9172301,12.167158078734,12.167158078734,10-50,0.0,Zero
9174608,10.6585921247409,10.6585921247409,10-50,0.0,Zero
9175092,2.1277738175000995,2.1277738175000995,1-10,0.0,Zero
9175535,54.508617675352745,54.508617675352745,50-100,0.0,Zero
9175597,9.7161843120245,9.7161843120245,1-10,0.0,Zero
9175602,22.611829305655,22.611829305655,10-50,0.0,Zero
9176606,7.749963596828983,7.749963596828983,1-10,0.0,Zero
9176656,4.51578791219,4.51578791219,1-10,0.0,Zero
9176759,2.31547401678348,2.31547401678348,1-10,0.0,Zero
9177428,6.375682574820001,6.375682574820001,1-10,0.0,Zero
9177583,49.4504786148114,49.4504786148114,10-50,0.0,Zero
9178393,14.7020143123958,14.7020143123958,10-50,0.0,Zero
9179828,28.1237812967838,28.1237812967838,10-50,0.0,Zero
9181742,9.104789551235,9.104789551235,1-10,0.0,Zero
9182033,6.92044161068365,6.92044161068365,1-10,0.0,Zero
9185463,67.7910055307793,67.7910055307793,50-100,0.0,Zero
9185499,98.40446849083574,98.40446849083574,50-100,0.0,Zero
9185920,6.2812028487847495,6.2812028487847495,1-10,0.0,Zero
9186302,11.725761755359748,11.725761755359748,10-50,0.0,Zero
9186326,45.9864724155158,45.9864724155158,10-50,0.0,Zero
9186584,3.8567878556064,3.8567878556064,1-10,0.0,Zero
9186742,3.0790619142749995,3.0790619142749995,1-10,0.0,Zero
9186950,5.833016093987999,5.833016093987999,1-10,0.0,Zero
9189354,13.462346369421,13.462346369421,10-50,0.0,Zero
9189500,8.3761547994,8.3761547994,1-10,0.0,Zero
9190004,23.551993017230743,22.38411702307015,10-50,1.1678759941605925,1-10
9193214,2.6997030041696,2.6997030041696,1-10,0.0,Zero
9194866,50.865683157675,50.865683157675,50-100,0.0,Zero
9197040,7.8937431574827,7.8937431574827,1-10,0.0,Zero
9197143,47.41876556628016,47.41876556628016,10-50,0.0,Zero
9197155,83.836774210792,83.836774210792,50-100,0.0,Zero
9197296,52.07264986658724,52.07264986658724,50-100,0.0,Zero
9197349,9.4608927041395,9.4608927041395,1-10,0.0,Zero
9197478,2.2236290629212,2.2236290629212,1-10,0.0,Zero
9198288,10.175222245119,10.175222245119,10-50,0.0,Zero
9198587,43.8916787405046,43.8916787405046,10-50,0.0,Zero
9199127,2.7513761133386336,2.7513761133386336,1-10,0.0,Zero
9200689,8.609005501854801,8.609005501854801,1-10,0.0,Zero
9200823,113.1743929991412,113.1743929991412,100+,0.0,Zero
9202168,6.028726766249999,6.028726766249999,1-10,0.0,Zero
9202663,26.4267677562492,26.4267677562492,10-50,0.0,Zero
9202792,8.859128009731,8.859128009731,1-10,0.0,Zero
9203796,95.65151515129996,95.65151515129996,50-100,0.0,Zero
9204984,5.1227387687916,5.1227387687916,1-10,0.0,Zero
9205067,6.4238209319329815,6.4238209319329815,1-10,0.0,Zero
9205512,31.1140921928845,31.1140921928845,10-50,0.0,Zero
9205677,6.846761641096799,6.846761641096799,1-10,0.0,Zero
9208069,3.37746791327715,3.37746791327715,1-10,0.0,Zero
9208215,133.8472781788056,133.8472781788056,100+,0.0,Zero
9209283,55.189533153883,55.189533153883,50-100,0.0,Zero
9209958,1.98750072546,1.98750072546,1-10,0.0,Zero
9210062,6.48891889067203,6.48891889067203,1-10,0.0,Zero
9210268,23.458633990568,23.458633990568,10-50,0.0,Zero
9211559,7.4324219650047,7.4324219650047,1-10,0.0,Zero
9212589,2.720857781223,2.720857781223,1-10,0.0,Zero
9213105,48.899498505197,37.30098599046515,10-50,11.598512514731851,10-50
9214757,2.2043196511796994,2.2043196511796994,1-10,0.0,Zero
9214898,10.973278680902162,10.973278680902162,10-50,0.0,Zero
9214903,10.472027795337365,10.472027795337365,10-50,0.0,Zero
9215098,7.593476797522199,7.593476797522199,1-10,0.0,Zero
9215892,9.906926603389898,9.906926603389898,1-10,0.0,Zero
9216731,7.780193208215049,7.780193208215049,1-10,0.0,Zero
9216987,35.35468625402579,35.35468625402579,10-50,0.0,Zero
9219264,2.18054715354,2.18054715354,1-10,0.0,Zero
9220196,4.11310976508,4.11310976508,1-10,0.0,Zero
9220316,7.278153430834,7.278153430834,1-10,0.0,Zero
9220940,2.63610747435,2.63610747435,1-10,0.0,Zero
9221114,2.198217641802,2.198217641802,1-10,0.0,Zero
9222273,12.0152363897268,12.0152363897268,10-50,0.0,Zero
9222285,9.7459126777242,9.7459126777242,1-10,0.0,Zero
9222338,20.719958600014404,20.719958600014404,10-50,0.0,Zero
9222467,31.15406322096735,31.15406322096735,10-50,0.0,Zero
9223540,4.25347969826304,4.25347969826304,1-10,0.0,Zero
9224324,7.955523578224049,7.955523578224049,1-10,0.0,Zero
9224958,8.9348678936491,8.9348678936491,1-10,0.0,Zero
9225342,27.2530776845052,27.2530776845052,10-50,0.0,Zero
9225653,9.413626744457998,9.413626744457998,1-10,0.0,Zero
9227223,8.1218655153604,8.1218655153604,1-10,0.0,Zero
9228710,4.051367698963217,4.051367698963217,1-10,0.0,Zero
9229439,112.10332117543892,112.10332117543892,100+,0.0,Zero
9230012,4.164657744852335,4.164657744852335,1-10,0.0,Zero
9230969,9.093450087135,9.093450087135,1-10,0.0,Zero
9230971,6.511029743248568,6.511029743248568,1-10,0.0,Zero
9231509,6.562108524610047,6.562108524610047,1-10,0.0,Zero
9231511,66.73031293380564,66.73031293380564,50-100,0.0,Zero
9232022,4.567416386260999,4.567416386260999,1-10,0.0,Zero
9232058,32.08368074343912,32.08368074343912,10-50,0.0,Zero
9232175,16.44320780077187,16.44320780077187,10-50,0.0,Zero
9232400,11.4712630091632,11.4712630091632,10-50,0.0,Zero
9232761,5.832924636441099,5.832924636441099,1-10,0.0,Zero
9233234,5.7497428847844,5.7497428847844,1-10,0.0,Zero
9233260,19.999493322169847,19.999493322169847,10-50,0.0,Zero
9233844,57.30023217590339,42.893472591523945,10-50,14.406759584379444,10-50
9234094,2.9210162787959995,2.9210162787959995,1-10,0.0,Zero
9234343,11.319419742618,11.319419742618,10-50,0.0,Zero
9234666,111.7486135052058,111.7486135052058,100+,0.0,Zero
9234678,3.009379317736,3.009379317736,1-10,0.0,Zero
9235567,10.077732527223,10.077732527223,10-50,0.0,Zero
9236054,14.4787823368579,14.4787823368579,10-50,0.0,Zero
9236250,91.84636530731362,91.84636530731362,50-100,0.0,Zero
9236561,7.16543740907105,7.16543740907105,1-10,0.0,Zero
9236858,1.8822455941815,1.8822455941815,1-10,0.0,Zero
9236896,22.465348863795,22.465348863795,10-50,0.0,Zero
9236913,2.384123386788,2.384123386788,1-10,0.0,Zero
9237412,5.80514024700045,5.80514024700045,1-10,0.0,Zero
9237618,50.145143935397,50.145143935397,50-100,0.0,Zero
9237797,123.8807343010493,123.8807343010493,100+,0.0,Zero
9238624,18.535627906576,18.535627906576,10-50,0.0,Zero
9238789,49.37500949186169,49.37500949186169,10-50,0.0,Zero
9239472,46.864880239863645,46.864880239863645,10-50,0.0,Zero
9239484,10.001065802160133,10.001065802160133,10-50,0.0,Zero
9240457,7.0130531865025,7.0130531865025,1-10,0.0,Zero
9240718,38.3497553800202,38.3497553800202,10-50,0.0,Zero
9240897,5.39077977437623,5.39077977437623,1-10,0.0,Zero
9241085,51.67182176894159,51.04212320552129,50-100,0.6296985634202983,0-1
9241205,67.53030356253973,67.53030356253973,50-100,0.0,Zero
9241308,11.04246551925,11.04246551925,10-50,0.0,Zero
9241607,8.623262917399,8.623262917399,1-10,0.0,Zero
9242120,75.94145746421874,75.94145746421874,50-100,0.0,Zero
9242699,41.606280543318,41.606280543318,10-50,0.0,Zero
9243394,18.56118162207321,18.56118162207321,10-50,0.0,Zero
9246279,128.3018031741728,128.3018031741728,100+,0.0,Zero
9247182,100.81870427494056,100.81870427494056,100+,0.0,Zero
9247364,111.9173608394114,111.9173608394114,100+,0.0,Zero
9247390,5.3117057451794,5.3117057451794,1-10,0.0,Zero
9247560,8.3296585455854,8.3296585455854,1-10,0.0,Zero
9247584,6.128731301745,6.128731301745,1-10,0.0,Zero
9247936,78.31444925941919,78.31444925941919,50-100,0.0,Zero
9248473,139.1021192065008,139.1021192065008,100+,0.0,Zero
9248497,6.000949636185899,6.000949636185899,1-10,0.0,Zero
9248899,30.391690437134,30.391690437134,10-50,0.0,Zero
9248930,8.5534830346166,8.5534830346166,1-10,0.0,Zero
9249271,1.9561154203098,1.9561154203098,1-10,0.0,Zero
9250701,37.93804747987818,37.93804747987818,10-50,0.0,Zero
9250957,6.044537847340349,6.044537847340349,1-10,0.0,Zero
9250983,11.373590588126,11.373590588126,10-50,0.0,Zero
9251078,29.78764403483503,29.78764403483503,10-50,0.0,Zero
9251535,71.8476946794786,71.8476946794786,50-100,0.0,Zero
9251573,5.4111683178762,5.4111683178762,1-10,0.0,Zero
9252204,6.0344025389491,6.0344025389491,1-10,0.0,Zero
9252307,6.2589256216303735,6.2589256216303735,1-10,0.0,Zero
9252967,11.8984365182552,11.8984365182552,10-50,0.0,Zero
9253002,9.138335289237,9.138335289237,1-10,0.0,Zero
9253090,11.026317480006854,11.026317480006854,10-50,0.0,Zero
9254549,2.0088331855572688,2.0088331855572688,1-10,0.0,Zero
9254678,37.423814202419386,37.423814202419386,10-50,0.0,Zero
9254927,103.57945593032072,103.57945593032072,100+,0.0,Zero
9255000,31.065424546149156,31.065424546149156,10-50,0.0,Zero
9255024,36.46402780733064,36.46402780733064,10-50,0.0,Zero
9255751,8.6056153200178,8.6056153200178,1-10,0.0,Zero
9255854,79.37229281667359,79.37229281667359,50-100,0.0,Zero
9256389,100.8917640739752,100.8917640739752,100+,0.0,Zero
9257084,30.80789682985605,30.80789682985605,10-50,0.0,Zero
9257137,4.949618852447999,4.949618852447999,1-10,0.0,Zero
9258129,9.2365584691053,9.2365584691053,1-10,0.0,Zero
9258179,44.12901197550865,44.12901197550865,10-50,0.0,Zero
9258870,108.4035334000242,108.4035334000242,100+,0.0,Zero
9259379,16.1400967009745,16.1400967009745,10-50,0.0,Zero
9259381,48.2994515806352,48.2994515806352,10-50,0.0,Zero
9260017,66.4445029857508,66.4445029857508,50-100,0.0,Zero
9260029,28.7564225041262,28.7564225041262,10-50,0.0,Zero
9260304,17.400082391571697,17.400082391571697,10-50,0.0,Zero
9260421,11.7745206561675,11.7745206561675,10-50,0.0,Zero
9260823,103.73887719699056,103.73887719699056,100+,0.0,Zero
9260902,14.81743411725047,14.81743411725047,10-50,0.0,Zero
9261009,22.477541119181097,22.477541119181097,10-50,0.0,Zero
9261449,8.16202968525,8.16202968525,1-10,0.0,Zero
9261815,11.660260718678,11.660260718678,10-50,0.0,Zero
9261918,6.344296633812,6.344296633812,1-10,0.0,Zero
9262766,54.16424318451,54.16424318451,50-100,0.0,Zero
9262962,3.9803018555645,3.9803018555645,1-10,0.0,Zero
9263057,19.91689698359435,19.91689698359435,10-50,0.0,Zero
9263332,18.096138785684698,18.096138785684698,10-50,0.0,Zero
9263344,7.597022658543899,7.597022658543899,1-10,0.0,Zero
9263643,76.04189962884459,76.04189962884459,50-100,0.0,Zero
9263708,7.110733144044274,7.110733144044274,1-10,0.0,Zero
9264881,94.89295143970509,94.89295143970509,50-100,0.0,Zero
9264893,101.9500678697682,101.9500678697682,100+,0.0,Zero
9265366,7.35822419521605,7.35822419521605,1-10,0.0,Zero
9265926,55.95943018242258,55.95943018242258,50-100,0.0,Zero
9266372,8.242750559124874,8.242750559124874,1-10,0.0,Zero
9266853,7.960598359325849,7.960598359325849,1-10,0.0,Zero
9266865,47.37102379049775,47.37102379049775,10-50,0.0,Zero
9266944,3.5061665377652247,3.5061665377652247,1-10,0.0,Zero
9267417,5.4429221026215,5.4429221026215,1-10,0.0,Zero
9267699,5.80583598140995,5.80583598140995,1-10,0.0,Zero
9267833,4.5551445426736,4.5551445426736,1-10,0.0,Zero
9268423,6.576122704410249,6.576122704410249,1-10,0.0,Zero
9268485,44.86743670030396,44.86743670030396,10-50,0.0,Zero
9269398,5.0398846958545,5.0398846958545,1-10,0.0,Zero
9271377,19.5932436147854,19.5932436147854,10-50,0.0,Zero
9271391,42.31535923417088,42.31535923417088,10-50,0.0,Zero
9271559,36.45924074898488,36.45924074898488,10-50,0.0,Zero
9271573,84.41222437978375,84.41222437978375,50-100,0.0,Zero
9272503,3.21229760772308,3.21229760772308,1-10,0.0,Zero
9272979,19.09169123300568,19.09169123300568,10-50,0.0,Zero
9273961,39.08029881800635,39.08029881800635,10-50,0.0,Zero
9274525,90.93305723569732,90.93305723569732,50-100,0.0,Zero
9274630,5.3860334949,5.3860334949,1-10,0.0,Zero
9275359,110.7212538186938,110.7212538186938,100+,0.0,Zero
9275361,15.5500252195554,15.5500252195554,10-50,0.0,Zero
9275426,80.6008553971951,59.2375784516491,50-100,21.363276945546005,10-50
9276236,5.7680432961736,5.7680432961736,1-10,0.0,Zero
9276298,5.0241073682157,5.0241073682157,1-10,0.0,Zero
9276573,44.39325529547835,38.9185307120017,10-50,5.47472458347665,1-10
9276779,1.6025364109187,1.6025364109187,1-10,0.0,Zero
9277151,3.35605222257315,3.35605222257315,1-10,0.0,Zero
9278117,9.16238114214492,9.16238114214492,1-10,0.0,Zero
9278545,6.52411737861645,6.52411737861645,1-10,0.0,Zero
9278935,1.6452820574999998,1.6452820574999998,1-10,0.0,Zero
9279575,2.44598599215,2.44598599215,1-10,0.0,Zero
9279771,10.9662575380148,10.9662575380148,10-50,0.0,Zero
9279795,1.7057359326232555,1.7057359326232555,1-10,0.0,Zero
9280653,13.7640867537382,13.7640867537382,10-50,0.0,Zero
9280873,102.9879602768562,102.9879602768562,100+,0.0,Zero
9281695,51.070470700032,34.95895315776,10-50,16.111517542271997,10-50
9281906,37.40972417326174,37.40972417326174,10-50,0.0,Zero
9281944,3.1055983109104046,3.1055983109104046,1-10,0.0,Zero
9282596,6.4783107655741,6.4783107655741,1-10,0.0,Zero
9283186,9.449692598874,9.449692598874,1-10,0.0,Zero
9283289,56.67462734490563,56.67462734490563,50-100,0.0,Zero
9283552,24.02810187767,24.02810187767,10-50,0.0,Zero
9283617,11.5520079417777,11.5520079417777,10-50,0.0,Zero
9283643,2.15448369203979,2.15448369203979,1-10,0.0,Zero
9283801,81.85647461730751,81.85647461730751,50-100,0.0,Zero
9283887,48.64492960268985,48.64492960268985,10-50,0.0,Zero
9284403,2.0422398688767496,2.0422398688767496,1-10,0.0,Zero
9284506,14.8947728028687,14.8947728028687,10-50,0.0,Zero
9284556,23.789309380383934,23.789309380383934,10-50,0.0,Zero
9284879,2.32193718279395,2.32193718279395,1-10,0.0,Zero
9284910,32.002595054629595,32.002595054629595,10-50,0.0,Zero
9284960,6.124389103685159,6.124389103685159,1-10,0.0,Zero
9285495,14.119905784182398,14.119905784182398,10-50,0.0,Zero
9285653,21.0940089712644,21.0940089712644,10-50,0.0,Zero
9286073,7.331809206089687,7.331809206089687,1-10,0.0,Zero
9286229,7.899130696370942,7.899130696370942,1-10,0.0,Zero
9286255,89.99058522783719,89.99058522783719,50-100,0.0,Zero
9286592,1.4453979362768703,1.4453979362768703,1-10,0.0,Zero
9286798,27.582107178025,27.582107178025,10-50,0.0,Zero
9286803,4.0602776121936,4.0602776121936,1-10,0.0,Zero
9286920,33.91254086922488,33.91254086922488,10-50,0.0,Zero
9287297,57.30504558172184,57.30504558172184,50-100,0.0,Zero
9287429,19.364334845201807,19.364334845201807,10-50,0.0,Zero
9288021,8.611342210915087,8.611342210915087,1-10,0.0,Zero
9288095,132.21972419960596,132.21972419960596,100+,0.0,Zero
9288162,12.281746012872,12.281746012872,10-50,0.0,Zero
9288459,27.32463757065671,27.32463757065671,10-50,0.0,Zero
9288473,17.803065792286336,17.803065792286336,10-50,0.0,Zero
9288758,5.1337379228568025,5.1337379228568025,1-10,0.0,Zero
9288942,2.5616723706375,2.5616723706375,1-10,0.0,Zero
9289063,65.0955261060699,65.0955261060699,50-100,0.0,Zero
9289087,14.551709609773996,14.551709609773996,10-50,0.0,Zero
9289491,65.22904815267341,65.22904815267341,50-100,0.0,Zero
9289946,13.754056732801,13.754056732801,10-50,0.0,Zero
9289958,7.045774958771999,7.045774958771999,1-10,0.0,Zero
9290270,9.39484938673065,9.39484938673065,1-10,0.0,Zero
9290347,5.785345223535482,5.785345223535482,1-10,0.0,Zero
9290476,17.200825836032973,17.200825836032973,10-50,0.0,Zero
9290660,37.49552595414546,37.49552595414546,10-50,0.0,Zero
9290799,11.3110598021925,11.3110598021925,10-50,0.0,Zero
9290880,46.0900034183696,46.0900034183696,10-50,0.0,Zero
9291286,103.58184456829792,94.9737884106166,50-100,8.608056157681318,1-10
9291432,31.73769519028614,31.73769519028614,10-50,0.0,Zero
9292228,10.996299860728753,10.996299860728753,10-50,0.0,Zero
9293466,15.53669147224674,15.53669147224674,10-50,0.0,Zero
9293741,7.428740666271599,7.428740666271599,1-10,0.0,Zero
9293818,12.3157456473669,12.3157456473669,10-50,0.0,Zero
9293820,14.9189547929316,14.9189547929316,10-50,0.0,Zero
9294068,9.286619887524646,9.286619887524646,1-10,0.0,Zero
9294159,26.1184829115018,26.1184829115018,10-50,0.0,Zero
9294290,10.4996578779864,10.4996578779864,10-50,0.0,Zero
9294329,11.103636896314775,11.103636896314775,10-50,0.0,Zero
9294525,6.6348950938524,6.6348950938524,1-10,0.0,Zero
9294563,5.418979407044,5.418979407044,1-10,0.0,Zero
9294575,89.26159907017991,89.26159907017991,50-100,0.0,Zero
9294795,55.5075281830942,55.5075281830942,50-100,0.0,Zero
9294850,9.138234187846798,9.138234187846798,1-10,0.0,Zero
9294862,4.732554720884886,4.732554720884886,1-10,0.0,Zero
9295000,6.12078918347988,6.12078918347988,1-10,0.0,Zero
9295024,5.001795859423895,5.001795859423895,1-10,0.0,Zero
9295270,92.06265434990128,92.06265434990128,50-100,0.0,Zero
9295323,8.222677802214,8.222677802214,1-10,0.0,Zero
9295361,45.3543799534548,45.3543799534548,10-50,0.0,Zero
9295397,8.6184166212,8.6184166212,1-10,0.0,Zero
9295414,10.5620002380585,10.5620002380585,10-50,0.0,Zero
9295830,126.93882332804398,126.93882332804398,100+,0.0,Zero
9296341,6.424802589869999,6.424802589869999,1-10,0.0,Zero
9296389,54.733852528777234,54.733852528777234,50-100,0.0,Zero
9297292,45.811243676778496,45.811243676778496,10-50,0.0,Zero
9297527,15.940955046,15.940955046,10-50,0.0,Zero
9298480,12.357923748471178,12.357923748471178,10-50,0.0,Zero
9298648,10.4601758775399,10.4601758775399,10-50,0.0,Zero
9298997,8.183706543417838,8.183706543417838,1-10,0.0,Zero
9299288,20.531426200640016,20.531426200640016,10-50,0.0,Zero
9299329,5.895175327013699,5.895175327013699,1-10,0.0,Zero
9299628,14.1904951139442,14.1904951139442,10-50,0.0,Zero
9299800,10.93840739028,10.93840739028,10-50,0.0,Zero
9300142,12.82850185418025,12.82850185418025,10-50,0.0,Zero
9300207,35.992897064890435,35.992897064890435,10-50,0.0,Zero
9300544,20.87298824421415,20.87298824421415,10-50,0.0,Zero
9300623,35.2548243626306,35.2548243626306,10-50,0.0,Zero
9300764,17.972010759044398,17.972010759044398,10-50,0.0,Zero
9300879,35.928633123471,35.928633123471,10-50,0.0,Zero
9301093,9.9822276394497,9.9822276394497,1-10,0.0,Zero
9301249,14.619375000430647,14.619375000430647,10-50,0.0,Zero
9301316,3.6848797252651497,3.6848797252651497,1-10,0.0,Zero
9301366,4.9992495672877,4.9992495672877,1-10,0.0,Zero
9301469,7.073919190739299,7.073919190739299,1-10,0.0,Zero
9301782,12.908027718101064,12.908027718101064,10-50,0.0,Zero
9301859,13.619417845316088,13.619417845316088,10-50,0.0,Zero
9302176,10.6449259509744,10.6449259509744,10-50,0.0,Zero
9302657,2.7633255579457,2.7633255579457,1-10,0.0,Zero
9302994,7.6551637846507665,7.6551637846507665,1-10,0.0,Zero
9303156,8.56133487167175,8.56133487167175,1-10,0.0,Zero
9303182,5.464169608937398,5.464169608937398,1-10,0.0,Zero
9303649,4.7357337746175,4.7357337746175,1-10,0.0,Zero
9303766,23.61369215415,23.61369215415,10-50,0.0,Zero
9304021,19.61924546272455,19.61924546272455,10-50,0.0,Zero
9304124,2.249388298257,2.249388298257,1-10,0.0,Zero
9304203,30.4784053326564,30.4784053326564,10-50,0.0,Zero
9304291,2.4029332262513,2.4029332262513,1-10,0.0,Zero
9304502,4.0027189693153495,4.0027189693153495,1-10,0.0,Zero
9304693,7.355854450693646,7.355854450693646,1-10,0.0,Zero
9304930,20.292314923358283,15.420785226849157,10-50,4.871529696509127,1-10
9305001,8.193198083408175,8.193198083408175,1-10,0.0,Zero
9305192,4.113129257300859,4.113129257300859,1-10,0.0,Zero
